ID_Venta,Fecha_Venta,Codigo_Producto,Cantidad,Precio_Unitario,CUIT_Cliente,,venta Total
30,19/12/2017,HD_WESTERN,6,11004.34,20-33853109-5,,66026.04
165,09/09/2018,MONITOR_LG,8,8206.49,21-28243308-5,,65651.92
34,01/09/2018,KEYBRD_485,9,7219.89,20-33853109-5,,64979.01
237,27/09/2018,HD_WESTERN,7,9205.81,21-28243308-5,,64440.67
241,02/04/2018,MONITOR_LG,7,9116.09,20-15343109-5,,63812.63
186,28/04/2018,MONITOR_LG,7,9031.09,20-33263109-4,,63217.63
220,22/04/2018,MOUSE_GEN,7,8954.95,20-33263109-4,,62684.65
235,08/05/2018,HD_WESTERN,8,7700.73,21-28243308-5,,61605.84
24,11/07/2018,KEYBRD_485,10,6074.72,20-33853109-5,,60747.2
207,13/07/2018,LCD_TV,8,7507.45,21-28243308-5,,60059.6
144,01/06/2018,MOUSE_GEN,6,9946.64,21-28243308-5,,59679.84
52,23/06/2018,MONITOR_LG,5,11895.57,20-33853109-5,,59477.85
10,29/04/2018,DVD_REC,8,7316.59,20-15343109-5,,58532.72
206,21/03/2018,DVD_REC,6,9661.98,21-28243308-5,,57971.88
112,13/12/2017,MONITOR_LG,7,8208.7,20-33853109-5,,57460.9
163,02/05/2018,MOUSE_GEN,8,7170.5,20-33853109-5,,57364
148,30/03/2018,MOUSE_GEN,5,11463.06,20-33263109-4,,57315.3
91,31/03/2018,DVD_REC,7,8153.42,21-28243308-5,,57073.94
61,05/08/2018,MONITOR_LG,7,8141.16,20-33853109-5,,56988.12
69,27/11/2017,MOUSE_GEN,5,11330.3,20-33263109-4,,56651.5
184,03/09/2018,DVD_REC,10,5579.77,20-15343109-5,,55797.7
199,15/12/2017,DVD_REC,7,7890.7,21-28243308-5,,55234.9
137,06/11/2018,LCD_TV,6,9184.07,20-15343109-5,,55104.42
172,06/11/2018,HD_WESTERN,5,10922.34,20-33263109-4,,54611.7
94,16/09/2018,MONITOR_LG,6,9022.34,21-28243308-5,,54134.04
164,06/09/2018,MOUSE_GEN,5,10787.67,20-15343109-5,,53938.35
169,07/05/2018,DVD_REC,9,5811.32,20-33263109-4,,52301.88
15,02/07/2018,HD_WESTERN,8,6403.13,20-33853109-5,,51225.04
32,17/08/2018,MOUSE_GEN,5,10150.92,21-28243308-5,,50754.6
87,15/07/2018,HD_WESTERN,6,8426.11,20-33853109-5,,50556.66
56,11/01/2018,DVD_REC,10,5025.07,21-28243308-5,,50250.7
96,12/08/2018,MOUSE_GEN,6,8352.11,20-33263109-4,,50112.66
217,11/12/2017,MOUSE_GEN,5,9710.6,20-15343109-5,,48553
41,29/12/2017,KEYBRD_485,8,5882.52,20-33263109-4,,47060.16
138,08/12/2017,DVD_REC,8,5880.49,20-33263109-4,,47043.92
181,23/07/2018,MONITOR_LG,10,4686.43,21-28243308-5,,46864.3
54,07/12/2017,LCD_TV,4,11615.58,20-33263109-4,,46462.32
117,28/01/2018,LCD_TV,4,11515.88,20-33853109-5,,46063.52
78,29/06/2018,MOUSE_GEN,4,11446.26,20-33263109-4,,45785.04
238,16/12/2017,MOUSE_GEN,10,4558.16,20-33853109-5,,45581.6
53,06/06/2018,DVD_REC,6,7491.01,20-15343109-5,,44946.06
58,22/10/2018,MONITOR_LG,8,5587.11,20-15343109-5,,44696.88
176,25/06/2018,MOUSE_GEN,4,10963.81,21-28243308-5,,43855.24
208,12/08/2018,MOUSE_GEN,10,4376.48,20-33853109-5,,43764.8
188,05/01/2018,DVD_REC,4,10837.83,21-28243308-5,,43351.32
183,13/04/2018,DVD_REC,7,6064.37,20-33853109-5,,42450.59
195,04/05/2018,HD_WESTERN,10,4227.96,20-33263109-4,,42279.6
115,01/03/2018,MONITOR_LG,5,8385.78,20-33263109-4,,41928.9
179,20/11/2017,LCD_TV,5,8383.06,20-33853109-5,,41915.3
57,28/06/2018,DVD_REC,5,8366.27,20-33263109-4,,41831.35
108,31/07/2018,HD_WESTERN,7,5761.01,20-15343109-5,,40327.07
74,04/06/2018,HD_WESTERN,4,9835.45,21-28243308-5,,39341.8
187,19/11/2017,HD_WESTERN,10,3881.43,20-15343109-5,,38814.3
240,04/06/2018,MOUSE_GEN,6,6459.57,20-33853109-5,,38757.42
110,11/05/2018,HD_WESTERN,4,9379.86,21-28243308-5,,37519.44
47,27/04/2018,MOUSE_GEN,8,4673.63,20-33853109-5,,37389.04
11,26/08/2018,MONITOR_LG,4,9098.05,20-15343109-5,,36392.2
168,24/07/2018,DVD_REC,6,6034.52,20-15343109-5,,36207.12
97,05/10/2018,MOUSE_GEN,7,5092.29,21-28243308-5,,35646.03
27,08/12/2017,LCD_TV,9,3868.25,20-33263109-4,,34814.25
33,04/02/2018,DVD_REC,5,6889.78,20-15343109-5,,34448.9
247,22/02/2018,DVD_REC,7,4913.56,21-28243308-5,,34394.92
221,16/10/2018,KEYBRD_485,4,8481.54,20-15343109-5,,33926.16
46,09/12/2017,MOUSE_GEN,10,3391.28,21-28243308-5,,33912.8
246,11/09/2018,DVD_REC,5,6778.91,21-28243308-5,,33894.55
158,18/09/2018,DVD_REC,8,4151.87,20-15343109-5,,33214.96
136,08/10/2018,DVD_REC,7,4725.56,20-33263109-4,,33078.92
1,01/06/2018,MOUSE_GEN,7,4725.49,20-33263109-4,,33078.43
7,16/03/2018,HD_WESTERN,3,10931.14,21-28243308-5,,32793.42
218,31/01/2018,MONITOR_LG,5,6253.29,20-15343109-5,,31266.45
104,04/04/2018,LCD_TV,4,7513.64,21-28243308-5,,30054.56
106,24/06/2018,MONITOR_LG,9,3295.58,21-28243308-5,,29660.22
60,17/10/2018,DVD_REC,6,4938.18,21-28243308-5,,29629.08
132,25/12/2017,KEYBRD_485,6,4924.03,20-15343109-5,,29544.18
121,28/09/2018,DVD_REC,3,9841.28,20-15343109-5,,29523.84
150,30/11/2017,MOUSE_GEN,7,4206.66,21-28243308-5,,29446.62
177,17/09/2018,KEYBRD_485,9,3238.39,21-28243308-5,,29145.51
86,10/03/2018,KEYBRD_485,3,9693.08,21-28243308-5,,29079.24
211,12/04/2018,DVD_REC,3,9677.24,20-33853109-5,,29031.72
49,31/01/2018,MOUSE_GEN,3,9636.83,20-15343109-5,,28910.49
196,03/06/2018,MOUSE_GEN,7,4127.99,20-33263109-4,,28895.93
3,21/01/2018,MONITOR_LG,7,4100.64,20-33853109-5,,28704.48
122,28/01/2018,HD_WESTERN,3,9420.77,21-28243308-5,,28262.31
223,02/11/2018,DVD_REC,9,3037.55,20-33263109-4,,27337.95
135,16/03/2018,LCD_TV,9,3015.55,20-15343109-5,,27139.95
185,04/11/2018,HD_WESTERN,4,6671.74,20-15343109-5,,26686.96
230,03/12/2017,MOUSE_GEN,3,8874.14,21-28243308-5,,26622.42
205,03/11/2018,HD_WESTERN,5,5278.28,20-33263109-4,,26391.4
242,01/12/2017,LCD_TV,8,3295.93,20-33853109-5,,26367.44
28,02/09/2018,DVD_REC,5,5198.04,21-28243308-5,,25990.2
39,20/10/2018,KEYBRD_485,8,3223.73,20-15343109-5,,25789.84
23,17/07/2018,MONITOR_LG,4,6410.54,20-33853109-5,,25642.16
231,13/10/2018,DVD_REC,5,5080.35,20-33853109-5,,25401.75
17,20/12/2017,DVD_REC,3,8404.42,20-33263109-4,,25213.26
243,28/05/2018,MOUSE_GEN,3,8332.76,20-33853109-5,,24998.28
180,20/12/2017,LCD_TV,6,4152.91,20-33853109-5,,24917.46
125,13/12/2017,KEYBRD_485,4,6193.8,20-15343109-5,,24775.2
159,20/09/2018,HD_WESTERN,3,7887.61,20-15343109-5,,23662.83
89,23/02/2018,DVD_REC,2,11658.39,20-15343109-5,,23316.78
40,13/02/2018,KEYBRD_485,7,3279.14,20-33263109-4,,22953.98
114,26/10/2018,MONITOR_LG,8,2832.66,20-33263109-4,,22661.28
153,27/12/2017,HD_WESTERN,5,4525.67,20-15343109-5,,22628.35
145,05/12/2017,LCD_TV,2,11302.19,20-33853109-5,,22604.38
227,20/11/2017,MOUSE_GEN,2,11239.57,21-28243308-5,,22479.14
71,02/09/2018,HD_WESTERN,6,3712.49,20-33263109-4,,22274.94
43,21/02/2018,KEYBRD_485,8,2777.57,20-33853109-5,,22220.56
198,29/12/2017,DVD_REC,2,10874.49,20-33263109-4,,21748.98
70,19/01/2018,HD_WESTERN,3,7210.52,20-33263109-4,,21631.56
149,03/06/2018,MOUSE_GEN,5,4213.09,21-28243308-5,,21065.45
140,27/11/2017,MONITOR_LG,6,3502.78,20-15343109-5,,21016.68
157,29/10/2018,DVD_REC,6,3466.74,20-15343109-5,,20800.44
194,19/12/2017,LCD_TV,3,6933.13,20-33263109-4,,20799.39
120,12/12/2017,HD_WESTERN,2,10357.87,20-33853109-5,,20715.74
118,28/09/2018,MOUSE_GEN,3,6885.53,20-33853109-5,,20656.59
55,16/03/2018,MOUSE_GEN,2,10299.58,20-33263109-4,,20599.16
103,26/10/2018,HD_WESTERN,2,10172.47,20-33263109-4,,20344.94
85,06/11/2018,HD_WESTERN,2,10091.04,20-33263109-4,,20182.08
210,25/01/2018,HD_WESTERN,8,2494.01,20-15343109-5,,19952.08
233,29/01/2018,MOUSE_GEN,4,4946.13,21-28243308-5,,19784.52
102,24/03/2018,MONITOR_LG,4,4908.81,20-33263109-4,,19635.24
143,27/01/2018,LCD_TV,3,6474.41,20-15343109-5,,19423.23
131,10/08/2018,KEYBRD_485,9,2129.16,20-15343109-5,,19162.44
228,21/05/2018,DVD_REC,5,3715.52,20-15343109-5,,18577.6
193,27/04/2018,DVD_REC,2,9285.66,21-28243308-5,,18571.32
68,28/05/2018,LCD_TV,5,3634.71,21-28243308-5,,18173.55
123,15/09/2018,MONITOR_LG,3,5869.5,20-33853109-5,,17608.5
126,18/04/2018,HD_WESTERN,3,5849.81,20-15343109-5,,17549.43
124,18/09/2018,KEYBRD_485,7,2488.48,21-28243308-5,,17419.36
161,12/06/2018,KEYBRD_485,2,8666.1,21-28243308-5,,17332.2
212,16/07/2018,LCD_TV,9,1873.09,21-28243308-5,,16857.81
66,17/04/2018,MOUSE_GEN,2,8398.37,20-33853109-5,,16796.74
174,20/10/2018,MONITOR_LG,8,2017.76,20-33263109-4,,16142.08
18,14/08/2018,MOUSE_GEN,2,8030.11,20-33853109-5,,16060.22
190,07/12/2017,KEYBRD_485,10,1600.67,20-33263109-4,,16006.7
116,12/11/2018,KEYBRD_485,2,7635.23,20-33853109-5,,15270.46
8,20/07/2018,DVD_REC,3,5059.76,20-33853109-5,,15179.28
51,16/11/2018,MOUSE_GEN,4,3758.87,21-28243308-5,,15035.48
156,31/07/2018,DVD_REC,3,4950.29,21-28243308-5,,14850.87
25,20/07/2018,DVD_REC,2,7372.58,21-28243308-5,,14745.16
107,03/05/2018,MONITOR_LG,4,3676.22,20-15343109-5,,14704.88
201,15/11/2018,MOUSE_GEN,3,4789.07,21-28243308-5,,14367.21
9,31/05/2018,KEYBRD_485,2,6965.37,20-33853109-5,,13930.74
63,12/01/2018,LCD_TV,5,2780.95,20-33263109-4,,13904.75
26,21/07/2018,HD_WESTERN,4,3416.01,20-33263109-4,,13664.04
232,08/07/2018,DVD_REC,2,6811.31,21-28243308-5,,13622.62
6,14/10/2018,MOUSE_GEN,2,6522.66,20-33263109-4,,13045.32
133,27/04/2018,HD_WESTERN,2,6121.92,20-33853109-5,,12243.84
203,21/08/2018,DVD_REC,2,6054.27,20-33263109-4,,12108.54
225,25/01/2018,LCD_TV,9,1306.78,20-33263109-4,,11761.02
146,22/06/2018,DVD_REC,3,3898.46,20-33263109-4,,11695.38
48,26/02/2018,LCD_TV,10,1169.27,21-28243308-5,,11692.7
200,12/07/2018,KEYBRD_485,2,5824.96,20-15343109-5,,11649.92
72,10/11/2018,LCD_TV,4,2850.78,21-28243308-5,,11403.12
119,01/10/2018,KEYBRD_485,3,3744.83,20-15343109-5,,11234.49
105,10/01/2018,MONITOR_LG,6,1870.46,20-33263109-4,,11222.76
244,18/07/2018,DVD_REC,3,3701.2,21-28243308-5,,11103.6
129,09/02/2018,DVD_REC,9,1228.01,20-15343109-5,,11052.09
59,24/04/2018,HD_WESTERN,3,3621.85,20-33853109-5,,10865.55
13,27/02/2018,KEYBRD_485,4,2706.61,20-15343109-5,,10826.44
29,11/10/2018,DVD_REC,1,10802.91,20-33853109-5,,10802.91
84,20/11/2017,KEYBRD_485,1,10732.28,20-33853109-5,,10732.28
204,23/06/2018,MOUSE_GEN,2,5135.93,20-33263109-4,,10271.86
222,15/02/2018,KEYBRD_485,1,10267.89,20-33853109-5,,10267.89
152,31/01/2018,LCD_TV,6,1657.82,20-33853109-5,,9946.92
83,11/08/2018,DVD_REC,5,1969.68,21-28243308-5,,9848.4
16,15/05/2018,MOUSE_GEN,1,9135.53,20-33853109-5,,9135.53
14,08/04/2018,KEYBRD_485,2,4466.41,20-33853109-5,,8932.82
67,06/02/2018,HD_WESTERN,5,1786.46,20-15343109-5,,8932.3
239,31/03/2018,HD_WESTERN,2,4389.51,20-15343109-5,,8779.02
192,02/10/2018,MOUSE_GEN,1,8695.64,20-33853109-5,,8695.64
209,15/01/2018,KEYBRD_485,1,8619.86,20-33853109-5,,8619.86
175,01/12/2017,LCD_TV,8,1060.38,21-28243308-5,,8483.04
173,18/07/2018,MONITOR_LG,4,2119.74,20-33853109-5,,8478.96
197,21/07/2018,MONITOR_LG,1,8046.66,21-28243308-5,,8046.66
90,20/03/2018,LCD_TV,9,866.21,20-15343109-5,,7795.89
249,26/12/2017,HD_WESTERN,2,3842.53,21-28243308-5,,7685.06
202,25/03/2018,DVD_REC,2,3814.12,21-28243308-5,,7628.24
162,27/02/2018,LCD_TV,5,1441.12,20-15343109-5,,7205.6
35,20/10/2018,MONITOR_LG,6,1156.26,20-33853109-5,,6937.56
189,03/07/2018,LCD_TV,5,1383.99,20-33853109-5,,6919.95
2,07/12/2017,HD_WESTERN,1,6769.23,20-33853109-5,,6769.23
250,03/05/2018,MONITOR_LG,7,911.19,20-33853109-5,,6378.33
100,24/04/2018,DVD_REC,3,2052.06,20-33263109-4,,6156.18
171,09/04/2018,MONITOR_LG,1,5978.05,21-28243308-5,,5978.05
64,08/01/2018,MOUSE_GEN,8,737.37,20-15343109-5,,5898.96
167,27/12/2017,MONITOR_LG,2,2919.27,20-15343109-5,,5838.54
12,07/01/2018,KEYBRD_485,4,1455.93,21-28243308-5,,5823.72
127,09/05/2018,HD_WESTERN,2,2809.26,20-33263109-4,,5618.52
182,27/01/2018,HD_WESTERN,4,1314.42,20-33263109-4,,5257.68
141,25/01/2018,MONITOR_LG,2,2624.24,20-33263109-4,,5248.48
31,16/02/2018,LCD_TV,1,5228.46,20-33263109-4,,5228.46
98,02/03/2018,MONITOR_LG,1,4896.66,20-33853109-5,,4896.66
76,02/02/2018,KEYBRD_485,6,813.67,20-33263109-4,,4882.02
191,08/01/2018,DVD_REC,9,511.67,20-33263109-4,,4605.03
93,04/09/2018,HD_WESTERN,4,1111.92,21-28243308-5,,4447.68
109,05/05/2018,HD_WESTERN,3,1475.66,20-33853109-5,,4426.98
99,02/01/2018,HD_WESTERN,3,1356.56,20-33853109-5,,4069.68
234,08/07/2018,KEYBRD_485,6,667.36,21-28243308-5,,4004.16
75,18/06/2018,MONITOR_LG,2,1983.28,21-28243308-5,,3966.56
229,15/01/2018,KEYBRD_485,6,612.29,21-28243308-5,,3673.74
151,24/03/2018,LCD_TV,4,821.21,21-28243308-5,,3284.84
95,07/11/2018,MOUSE_GEN,6,546.21,21-28243308-5,,3277.26
139,22/02/2018,MOUSE_GEN,1,2937,20-33263109-4,,2937
42,11/04/2018,LCD_TV,2,1386.13,21-28243308-5,,2772.26
160,27/06/2018,DVD_REC,4,661.97,20-15343109-5,,2647.88
147,20/08/2018,HD_WESTERN,2,1278.81,20-33263109-4,,2557.62
226,17/09/2018,DVD_REC,3,815.91,20-15343109-5,,2447.73
236,25/07/2018,HD_WESTERN,5,472.65,20-15343109-5,,2363.25
113,09/06/2018,KEYBRD_485,6,387.99,20-33853109-5,,2327.94
77,04/06/2018,MOUSE_GEN,1,2255.5,20-15343109-5,,2255.5
245,11/11/2018,DVD_REC,3,715.99,20-33853109-5,,2147.97
166,11/04/2018,KEYBRD_485,1,2071.89,21-28243308-5,,2071.89
178,27/09/2018,LCD_TV,5,380.36,20-33263109-4,,1901.8
81,31/03/2018,KEYBRD_485,1,1636.76,20-15343109-5,,1636.76
65,21/08/2018,KEYBRD_485,1,1613.72,20-15343109-5,,1613.72
134,01/04/2018,LCD_TV,9,168.79,21-28243308-5,,1519.11
130,01/05/2018,HD_WESTERN,1,1395.18,20-33263109-4,,1395.18
62,12/06/2018,MONITOR_LG,6,213.87,21-28243308-5,,1283.22
214,20/06/2018,DVD_REC,1,703.58,20-15343109-5,,703.58
,,,1358,,,,
,,,229,,,,
